Sentence #,Word,POS,Tag
0,cái,O,O
0,đèn,O,B-dv
0,tranh,O,E-dv
0,trong,O,O
0,nhà,O,B-loc
0,giữ,O,I-loc
0,đồ,O,I-loc
0,trường,O,I-loc
0,sa,O,E-loc
0,có,O,O
0,còn,O,O
0,không,O,O
0,ấy,O,O
0,nhờ,O,O
0,đi,O,O
0,kiểm,O,B-cm
0,tra,O,E-cm
0,ngay,O,O
0,nhé,O,O
1,bật,O,B-cm
1,lò,O,B-dv
1,nướng,O,E-dv
1,lúc,O,O
1,16,O,B-ta
1,giờ,O,I-ta
1,3,O,I-ta
1,phút,O,E-ta
2,bạn,O,O
2,ơi,O,O
2,chán,O,O
2,quá,O,O
2,có,O,O
2,cái,O,O
2,gì,O,O
2,nghe,O,O
2,không,O,O
2,mở,O,B-cm
2,radio,O,B-dv
2,giúp,O,O
2,mình,O,O
2,với,O,O
3,máy,O,O
3,tính,O,O
3,"ơi,",O,O
3,tưới,O,O
3,cây,O,O
3,đủ,O,O
3,"rồi,",O,O
3,đóng,O,B-cm
3,giúp,O,O
3,tôi,O,O
3,cái,O,O
3,vòi,O,B-dv
3,tưới,O,E-dv
3,với,O,O
4,em,O,O
4,ơi,O,O
4,giảm,O,B-cm
4,độ,O,O
4,sáng,O,O
4,đèn,O,B-dv
4,tường,O,E-dv
4,xuống,O,O
4,cho,O,O
4,anh,O,O
4,nhá,O,O
5,giảm,O,B-cm
5,cho,O,O
5,anh,O,O
5,cái,O,O
5,bóng,O,B-dv
5,đứng,O,E-dv
5,mau,O,O
5,lên,O,O
6,phòng,O,O
6,này,O,O
6,đầy,O,O
6,mùi,O,O
6,thôi,O,O
6,tăng,O,B-cm
6,cái,O,O
6,quạt,O,B-dv
6,hút,O,I-dv
6,mùi,O,E-dv
6,lên,O,O
6,xem,O,O
6,nào,O,O
7,bạn,O,O
7,mở,O,B-cm
7,giúp,O,O
7,mình,O,O
7,cái,O,O
7,tủ,O,B-dv
7,lạnh,O,E-dv
7,với,O,O
8,đóng,O,B-cm
8,cái,O,O
8,màn,O,B-dv
8,cuốn,O,E-dv
8,trong,O,O
8,phòng,O,B-loc
8,của,O,I-loc
8,long,O,E-loc
8,lại,O,O
8,lại,O,O
8,nhớ,O,O
9,chào,O,O
9,bạn,O,O
9,bạn,O,O
9,có,O,O
9,thể,O,O
9,đóng,O,B-cm
9,van,O,B-dv
9,nước,O,E-dv
9,trong,O,O
9,nhà,O,B-loc
9,tắm,O,E-loc
9,hộ,O,O
9,mình,O,O
9,được,O,O
9,không,O,O
10,kiểm,O,B-cm
10,tra,O,E-cm
10,xem,O,O
10,cái,O,O
10,đèn,O,B-dv
10,học,O,E-dv
10,tắt,O,O
10,chưa,O,O
10,nhé,O,O
11,em,O,O
11,gái,O,O
11,ơi,O,O
11,kiểm,O,B-cm
11,tra,O,E-cm
11,giúp,O,O
11,chị,O,O
11,cái,O,O
11,bóng,O,B-dv
11,đứng,O,E-dv
11,ở,O,O
